,Crime,Severity,Latitude,Longitude,Day,Hour
3831,MISSING PERSON,16,37.866842,-122.27366,Friday,18
3832,MOTOR VEHICLE THEFT,6,37.846403,-122.272815,Saturday,16
3833,FAMILY OFFENSE,12,37.871828,-122.270516,Monday,21
3834,LARCENY,1,37.871828,-122.270516,Wednesday,12
3835,BURGLARY - COMMERCIAL,11,37.86476,-122.297852,Saturday,0
3836,VANDALISM,5,37.874351,-122.272197,Friday,1
3837,DISORDERLY CONDUCT,3,37.872185,-122.268407,Tuesday,22
3838,LARCENY,1,37.873885,-122.266332,Wednesday,14
3839,BURGLARY - VEHICLE,2,37.857387,-122.261536,Tuesday,18
3840,ASSAULT,4,37.867852,-122.258699,Monday,14
3841,BURGLARY - COMMERCIAL,11,37.850385,-122.270897,Thursday,15
3842,DRUG VIOLATION,10,37.865535,-122.255235,Wednesday,23
3843,FRAUD,7,37.853203,-122.279642,Wednesday,0
3845,DISORDERLY CONDUCT,3,37.866311,-122.256361,Monday,0
3846,BURGLARY - RESIDENTIAL,8,37.882135,-122.267239,Thursday,20
3847,LARCENY,1,37.864827,-122.258577,Saturday,16
3848,LARCENY,1,37.862927,-122.258784,Monday,18
3849,LARCENY,1,37.868898,-122.243093,Thursday,10
3850,LARCENY,1,37.864258,-122.272202,Thursday,12
3851,BURGLARY - VEHICLE,2,37.880228,-122.295798,Saturday,18
3852,BURGLARY - VEHICLE,2,37.88014,-122.297498,Wednesday,20
3853,BURGLARY - VEHICLE,2,37.883621,-122.269734,Monday,22
3854,DRUG VIOLATION,10,37.855815,-122.280413,Monday,2
3855,LARCENY,1,37.864714,-122.274572,Monday,0
3856,LARCENY,1,37.865793,-122.301779,Friday,17
3857,ASSAULT,4,37.855435,-122.259841,Wednesday,16
3859,LARCENY,1,37.859184,-122.289022,Wednesday,18
3860,LARCENY,1,37.868447,-122.261268,Tuesday,9
3861,BURGLARY - VEHICLE,2,37.86331,-122.316113,Monday,11
3862,LARCENY,1,37.850675,-122.286265,Wednesday,7
3863,BURGLARY - RESIDENTIAL,8,37.87084,-122.289678,Saturday,0
3864,LARCENY,1,37.878407,-122.267962,Wednesday,9
3865,WEAPONS OFFENSE,14,37.872185,-122.268407,Wednesday,7
3866,FRAUD,7,37.866976,-122.30251,Friday,8
3867,LARCENY,1,37.869363,-122.268028,Monday,17
3869,LARCENY,1,37.867176,-122.267802,Monday,18
3870,BURGLARY - COMMERCIAL,11,37.859539,-122.259172,Saturday,20
3871,LARCENY,1,37.860105,-122.261901,Tuesday,10
3872,BURGLARY - VEHICLE,2,37.899959,-122.282042,Tuesday,18
3874,FRAUD,7,37.880376,-122.268183,Thursday,11
3875,DRUG VIOLATION,10,37.854272,-122.268418,Friday,13
3876,VANDALISM,5,37.878239,-122.288374,Saturday,4
3877,FRAUD,7,37.869186,-122.283943,Friday,14
3878,MOTOR VEHICLE THEFT,6,37.853864,-122.285643,Friday,0
3879,BURGLARY - VEHICLE,2,37.871884,-122.270752,Sunday,15
3880,BURGLARY - RESIDENTIAL,8,37.850899,-122.276174,Tuesday,11
3881,ASSAULT,4,37.868334,-122.303753,Monday,1
3882,LARCENY,1,37.883529,-122.259884,Sunday,6
3883,BURGLARY - VEHICLE,2,37.875053,-122.26548,Thursday,22
3884,BURGLARY - RESIDENTIAL,8,37.8792,-122.263044,Sunday,20
